"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up"
"1","DIRECT_MAIL_spend",1,14,446.379947219034,23.7160693553668,"[255.09, 638.5]",255.087513645231,638.498535185129
"2","DIRECT_MAIL_spend",2,6,1025.68618772265,63.3870837006288,"[625.95, 1424.19]",625.946004343276,1424.19398127739
"3","DIRECT_MAIL_spend",3,9,234.457387403232,43.0064866485949,"[0, 530.53]",0,530.5272442062
"4","DIRECT_MAIL_spend",4,31,361.116082760716,23.51721327264,"[94.88, 629.7]",94.8780558468516,629.701431033343
"5","DIRECT_MAIL_spend",5,10,371.645581208728,24.5995279326011,"[194.65, 546.6]",194.649174056391,546.59801786048
"6","DIRECT_MAIL_spend",6,7,670.28381117203,37.3432760878709,"[427.43, 910.95]",427.43081760064,910.945599254518
"7","DIRECT_MAIL_spend",7,9,860.237128380584,39.4099561156641,"[587.21, 1132.49]",587.210633683352,1132.48776430897
"8","DIRECT_MAIL_spend",8,12,225.831068597992,29.4037742802139,"[1.32, 449.69]",1.3188291871879,449.693234085433
"9","DIRECT_MAIL_spend",9,11,502.290850328997,16.3589451609895,"[380.4, 622.19]",380.403642888818,622.185598667352
"10","GDN_spend",1,14,95.9648116869222,23.0252597969539,"[0, 282.58]",0,282.576589338507
"11","GDN_spend",2,6,9.24444850736463,0.925518466058376,"[3.43, 15.08]",3.42760632021054,15.0828710841728
"12","GDN_spend",3,9,21.0210896168625,5.51938494095394,"[0, 59.02]",0,59.0228656358094
"13","GDN_spend",4,31,21.4062785768192,4.28243733463152,"[0, 70.09]",0,70.0923064854963
"14","GDN_spend",5,10,52.9318709362027,7.29191991136823,"[0.13, 104.46]",0.131483409934575,104.45798873758
"15","GDN_spend",6,7,33.2160643312586,4.05817862868505,"[6.98, 59.52]",6.97633421841417,59.5209837275773
"16","GDN_spend",7,9,37.4227704387368,1.32598392567985,"[28.24, 46.58]",28.2370338902544,46.5833803852463
"17","GDN_spend",8,12,22.3989019036524,3.26518192398114,"[0, 47.3]",0,47.302928139983
"18","GDN_spend",9,11,15.2045514598113,3.75226690521935,"[0, 43.06]",0,43.0557077754966
"19","PAID_SOCIAL_FB_spend",1,14,112.704356357915,8.54489100277475,"[43.45, 181.59]",43.445410677598,181.588259698216
"20","PAID_SOCIAL_FB_spend",2,6,115.434201516752,36.1431871916417,"[0, 341.92]",0,341.923648315284
"21","PAID_SOCIAL_FB_spend",3,9,87.6074428377836,4.95011153646997,"[53.38, 121.87]",53.380547642272,121.870413679202
"22","PAID_SOCIAL_FB_spend",4,31,61.9617285743088,6.78049299603195,"[0, 139.34]",0,139.343239794141
"23","PAID_SOCIAL_FB_spend",5,10,98.4573737129146,8.16149861050768,"[39.67, 156.44]",39.6694293575231,156.437117239456
"24","PAID_SOCIAL_FB_spend",6,7,59.5330236549629,1.84970569131812,"[47.5, 71.45]",47.5010306407819,71.4507248603554
"25","PAID_SOCIAL_FB_spend",7,9,78.6498606623184,8.15916252851644,"[22.4, 135.29]",22.4028642034871,135.293239386858
"26","PAID_SOCIAL_FB_spend",8,12,77.0353782422045,1.84303757917203,"[63.01, 91.11]",63.0086449693315,91.1128900193431
"27","PAID_SOCIAL_FB_spend",9,11,163.563701233663,47.8142538431366,"[0, 515.79]",0,515.792979316316
"28","PAID_SOCIAL_NFB_spend",1,14,73.9533266243751,2.99612036133489,"[49.75, 98.19]",49.7508390920989,98.1882741148609
