"","week_date","TOP_FUNNEL_spend","LOWER_FUNNEL_spend","DIRECT_MAIL_spend","NATIVE_spend","GDN_spend","TV_LINEAR_spend","PAID_SOCIAL_FB_spend","TikTok_spend","PAID_SOCIAL_NFB_spend","total_conv"
"1",2019-12-30,3751984,1209143,203160,819329,15218,860975,751309,0,28151,134282
"2",2020-01-06,5479622,1221412,1345205,1013777,21127,862433,850573,0,29640,159496
"3",2020-01-13,4295734,923812,758862,805541,18386,778291,634471,0,23093,150909
"4",2020-01-20,3150946,863157,365009,538875,16985,670755,434241,0,16466,147544
"5",2020-01-27,2966723,856760,306932,424540,7493,453769,434440,0,16468,136104
"6",2020-02-03,3061153,818253,834550,610601,9046,290476,356396,0,14036,143729
"7",2020-02-10,2847442,745776,546947,500251,9864,259983,353167,0,13268,140296
"8",2020-02-17,2184062,718345,261340,466324,8978,234525,273686,0,6822,150808
"9",2020-02-24,2115721,773587,270077,482714,13576,214029,281717,0,5376,145457
"10",2020-03-02,2425281.641,627914,747855,423827,10341,224703,306146,0,5425,131619
"11",2020-03-09,2371549.762,697201,481896,502204,8931,227072,275330,0,4130,138048
"12",2020-03-16,917040.84,199293,266659,68074,567,160042,3302,0,50,102764
"13",2020-03-23,323700,28789,165900,1528,0,0,0,0,0,47026
"14",2020-03-30,224308,12712,118832,652,0,0,0,0,0,44770
"15",2020-04-06,226474,10203,118432,0,0,0,0,0,0,25559
"16",2020-04-13,112937,9565,86480,0,0,0,0,0,0,21788
"17",2020-04-20,78886,9334,52557,0,0,0,0,0,0,18291
"18",2020-04-27,62837,9334,36506,0,0,0,0,0,0,19743
"19",2020-05-04,552216.8711,169146,35651,204908,0,0,100285,0,1504,40180
"20",2020-05-11,1128480.751,324180,35451,372416,566.5800171,0,287103,0,4307,76406
"21",2020-05-18,1709412.152,415583,333612,449987,328.1099854,78050,257772,0,3867,90530
"22",2020-05-25,2137646.189,382661,387261,510381,523.75,130211,322588,0,4839,77236
"23",2020-06-01,2079750,491013,246526,582229,3450,167500,415595,0,6234,62537
"24",2020-06-08,2235253,598416,165776,503411,10492,216107,527112,0,7907,74504
"25",2020-06-15,2419909,578314,136543,466188,16152,218100,550406,19995,48181,70777
"26",2020-06-22,2797326,672724,181927,572241,16103,257606,616033,27463,102660,85374
"27",2020-06-29,2507740,466460,56671,631410,15630,138095,550803,13985,72189,82787
"28",2020-07-06,3507196,682794,545378,612899,16310,169606,558072,23700,86987,120418
"29",2020-07-13,2307337,639548,310483,337001,13504,203945,341737,19080,64213,81807
"30",2020-07-20,2056069,570509,169469,279134,16060,109750,289516,5008,54013,64842
"31",2020-07-27,1928162,542084,141663,303529,15090,127394,308935,5063,56288,65450
"32",2020-08-03,1787323,566629,50870,295839,13181,74528,306615,29247,54817,75259
"33",2020-08-10,2047912,560425,55870,330115,13239,137558,295348,51281,71107,90358
"34",2020-08-17,1900042,823568,50870,332452,13430,179906,321139,54880,72157,83762
"35",2020-08-24,2136857,833718,60870,411815,13387,234916,380851,75857,95615,88380
"36",2020-08-31,2129575,803904,88499,351525,12411,189323,312790,32011,50745,76884
"37",2020-09-07,2049148,799352,93467,292478,12633,148262,301446,44039,62317,90443
